"RiskId","Systems","Labels","RiskKind","WhyBalanceNotCorrectness","Recommendation","Evidence","Verification"
"BAL-0014","Homestead <-> Gardening","BalanceRisk;DependsOn;DocRisk;Supports","DocumentationRisk;EconomyBalance;MaintenanceCoupling","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Preserve non-combat depth but backlog resource-loop tuning.;Review exact edges before moving files or changing behavior.","Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Homestead->Gardening:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Mobiles/SBGardener.cs:L40:PlantBowl;Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Phase 9 synergy checklist: Homestead deepening non-combat economy.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0015","Homestead <-> Vendor Core","BalanceRisk;DependsOn;DocRisk","DocumentationRisk;EconomyBalance;MaintenanceCoupling","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Backlog vendor price and output review for homestead products.;Review exact edges before moving files or changing behavior.","Homestead->Vendor Core:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Mobiles/SBVintner.cs:L15:SBInfo;Homestead->Vendor Core:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Mobiles/SBWinecrafter.cs:L15:SBInfo;Homestead->Vendor Core:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Mobiles/Vintner.cs:L7:BaseVendor;Homestead->Vendor Cor...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0016","XMLSpawner <-> Champions","BalanceRisk;DocRisk;StaffDependency;Supports","DocumentationRisk;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Document staff event overrides and reward policy.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0017","XMLSpawner <-> Monster Nests","BalanceRisk;Conflicts;DocRisk;StaffDependency","DocumentationRisk;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review spawn overlap and documentation.","Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0018","Invasion <-> Champions","BalanceRisk;DependsOn;DocRisk;StaffDependency","DocumentationRisk;MaintenanceCoupling;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review event reward tables and staff scheduling assumptions.;Review exact edges before moving files or changing behavior.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Invasion->Champions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/Lord BlackThorn Clone.cs:L3:CannedEvil;Invasion->Champions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/BaseSubChampion.cs:L5:CannedEvil;Invasion->Champions:DirectReference:Data/Scripts/Custom/Invasion System/Add Ins/SubChamps/LordBlackThornBot.cs:L3:CannedEvil;Invasion-...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0019","Champions <-> Monster Nests","BalanceRisk;DocRisk;Duplicates","DocumentationRisk;PvEBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Document distinct purpose or backlog consolidation review.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: PvE goals.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0020","Clone Offline Player Characters <-> OmniAI","BalanceRisk;DependsOn;DocRisk;Supports","CombatBalance;DocumentationRisk;MaintenanceCoupling","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review clone combat power and loot/reward interactions.;Review exact edges before moving files or changing behavior.","Clone Offline Player Characters->OmniAI:DirectReference:Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs:L97:OmniAI;Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;High-risk review area: AI and offline player systems.;OmniAI:docs/wiki/Misc_Magic_Spells.md;OmniAI:docs/wiki/OmniAI.md;OmniAI:docs/wiki/SystemAudit.md:L26","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0021","Clone Offline Player Characters <-> AI Overhaul","BalanceRisk;DocRisk;Supports","CombatBalance;DocumentationRisk","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review clone behavior after AI changes.","AI Overhaul:docs/wiki/Creature_AI_Core.md;Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;High-risk review area: AI and offline player systems.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0022","OmniAI <-> AI Overhaul","BalanceRisk;Conflicts;DocRisk;Duplicates","CombatBalance;DocumentationRisk","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review AI ownership boundaries before changing combat behavior.","AI Overhaul:docs/wiki/Creature_AI_Core.md;High-risk review area: OmniAI and AI Overhaul.;OmniAI:docs/wiki/Misc_Magic_Spells.md;OmniAI:docs/wiki/OmniAI.md;OmniAI:docs/wiki/SystemAudit.md:L26","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0023","Spell Framework <-> Magic Schools","BalanceRisk;DependsOn;DocRisk;Supports","DocumentationRisk;MagicBalance;MaintenanceCoupling","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Preserve the framework/school split and backlog spell ID capacity review.;Review exact edges before moving files or changing behavior.","Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/Gumps/SongBookGump.cs:L20:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongBook.cs:L10:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongCommandList.cs:L115:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongSpells.cs:L78:SpellInfo;Magic Schools:docs/wiki/Bard_Song_Magic.md;Magic Schools:docs/wiki/Death_Knight_Magic.md;...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0024","Crafting Core <-> Bulk Orders","BalanceRisk;DependsOn;DocRisk;Supports","CraftingBalance;DocumentationRisk;MaintenanceCoupling","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Preserve objective loop; review reward acceleration separately.;Review exact edges before moving files or changing behavior.","Bulk Orders->Crafting Core:DirectReference:Data/Scripts/Trades/Bulk Orders/SmallSmithBOD.cs:L159:CraftSystem;Bulk Orders->Crafting Core:DirectReference:Data/Scripts/Trades/Bulk Orders/SmallTailorBOD.cs:L146:CraftSystem;Bulk Orders:docs/wiki/Animal_Shape_Stones.md;Bulk Orders:docs/wiki/Bulk_Order_System.md;Bulk Orders:docs/wiki/SystemAudit.md:L29;Bulk Orders:docs/wiki/SystemAudit.md:L41;Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0025","Crafting Core <-> Gardening","BalanceRisk;DocRisk;Supports","DocumentationRisk;EconomyBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Keep input relationship visible in dependency docs.","Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L248;Crafting Core:docs/wiki/Standard_Crafting.md:L249;Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Phase 9 domain review: Crafting and Economy.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"BAL-0026","Harvest System <-> Gardening","BalanceRisk;DocRisk;Supports","DocumentationRisk;EconomyBalance","This row flags pacing, reward, policy, or player-objective risk; it does not by itself prove a compiler, serializer, or runtime bug.","Review resource faucet overlap before tuning.","Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Harvest System:docs/wiki/Apiculture_Beekeeping.md:L313;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Grave_Robbing_Trade.md;Harvest System:docs/wiki/Standard_Crafting.md:L249;Phase 9 conflict checklist: crafting/resource loops versus progression pacing.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
