DecisionId,DecisionLevel,RecommendedSequence,DecisionArea,SystemOrRelationship,FilesOrScope,PlainEnglishQuestion,PlainEnglishContext,WhatApprovalAllows,WhatStaysBlockedIfNotApproved,RecommendedDefault,AnswerOptions,ExecutiveDecision,ExecutiveDecisionDetails,RiskIfApproved,RiskIfDeferred,AutomationSuitability,SuggestedGoalShape,CanRunAsOneGoal,RequiredApprovalSpecifics,VerificationNeeded,SourceAuditEvidence,GateRowIds,SourceRowCount,NotesForCoder
GATE-0019,GateRow,119,Economy and reward loops,Champions <-> Monster Nests,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Champions <-> Monster Nests?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Duplicates; RiskKind=DocumentationRisk;PvEBalance; Evidence=Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Champions:docs/wiki/wikibacklog.md;Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: PvE goals. || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0019,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0020,GateRow,120,Economy and reward loops,Clone Offline Player Characters <-> OmniAI,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Clone Offline Player Characters <-> OmniAI?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DependsOn;DocRisk;Supports; RiskKind=CombatBalance;DocumentationRisk;MaintenanceCoupling; Evidence=Clone Offline Player Characters->OmniAI:DirectReference:Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs:L97:OmniAI;Clone Offline Player Characters:docs/wiki/AI_OVERHAUL_AUDIT.md;Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;High-risk review area: AI and offline player... || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0020,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0021,GateRow,121,Economy and reward loops,Clone Offline Player Characters <-> AI Overhaul,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Clone Offline Player Characters <-> AI Overhaul?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Supports; RiskKind=CombatBalance;DocumentationRisk; Evidence=AI Overhaul:docs/wiki/AI_OVERHAUL_AUDIT.md;AI Overhaul:docs/wiki/Creature_AI_Core.md;Clone Offline Player Characters:docs/wiki/AI_OVERHAUL_AUDIT.md;Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;High-risk review area: AI and offline player systems. || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0021,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0022,GateRow,122,Economy and reward loops,OmniAI <-> AI Overhaul,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for OmniAI <-> AI Overhaul?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;Conflicts;DocRisk;Duplicates; RiskKind=CombatBalance;DocumentationRisk; Evidence=AI Overhaul:docs/wiki/AI_OVERHAUL_AUDIT.md;AI Overhaul:docs/wiki/Creature_AI_Core.md;High-risk review area: OmniAI and AI Overhaul.;OmniAI:docs/wiki/AI_OVERHAUL_AUDIT.md;OmniAI:docs/wiki/Misc_Magic_Spells.md;OmniAI:docs/wiki/SystemAudit.md:L26 || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0022,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0023,GateRow,123,Economy and reward loops,Spell Framework <-> Magic Schools,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Spell Framework <-> Magic Schools?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DependsOn;DocRisk;Supports; RiskKind=DocumentationRisk;MagicBalance;MaintenanceCoupling; Evidence=Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/Gumps/SongBookGump.cs:L20:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongBook.cs:L10:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongCommandList.cs:L115:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/... || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0023,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0024,GateRow,124,Economy and reward loops,Crafting Core <-> Bulk Orders,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Crafting Core <-> Bulk Orders?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DependsOn;DocRisk;Supports; RiskKind=CraftingBalance;DocumentationRisk;MaintenanceCoupling; Evidence=Bulk Orders->Crafting Core:DirectReference:Data/Scripts/Trades/Bulk Orders/SmallSmithBOD.cs:L159:CraftSystem;Bulk Orders->Crafting Core:DirectReference:Data/Scripts/Trades/Bulk Orders/SmallTailorBOD.cs:L146:CraftSystem;Bulk Orders:docs/wiki/Animal_Shape_Stones.md;Bulk Orders:docs/wiki/Bulk_Order_System.md;Bulk Orders:docs/wiki/SystemAudit.md:L29;Bulk Orders:docs/wiki/SystemA... || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0024,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0025,GateRow,125,Economy and reward loops,Crafting Core <-> Gardening,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Crafting Core <-> Gardening?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance; Evidence=Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L234;Crafting Core:docs/wiki/Standard_Crafting.md:L235;Gardening:docs/wiki/Gardening_System.md;Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Phase 9 domain review: Crafting and Economy. || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0025,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0026,GateRow,126,Economy and reward loops,Harvest System <-> Gardening,Relationship-level row; no single source file is approved for policy edits from this row.,"Do you approve tuning the reward, progression, economy, or gameplay balance relationship for Harvest System <-> Gardening?","This is not classified as a code defect. It is a gameplay design choice about how fast players progress, what rewards are worth, and how two systems reinforce or bypass each other.","A focused source batch may change reward rates, progression incentives, economy loops, spawn rewards, vendor behavior, crafting/harvest/gardening loops, or paired-system tuning for this relationship.",Current gameplay balance stays preserved for this relationship; code correctness fixes outside tuning may still proceed.,Preserve current tuning unless you have a specific desired gameplay outcome.,Approve tuning with stated outcome | Preserve current tuning | Request design proposal | Reject tuning,,,"Can affect player economy, progression speed, farming value, event rewards, or perceived fairness.","Known balance concerns remain, but player-facing economy and progression stay stable.",Partly automatable after a design answer; implementation should be one relationship or reward path per goal.,GATED-SOURCE-BATCH-BALANCE for this relationship only.,"No, unless multiple rows are intentionally approved under one balance design document.","State desired tuning policy, target system/relationship, what should increase/decrease, and acceptance notes.",Source review of reward/economy paths; affected docs update if behavior changes; gameplay acceptance notes; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Labels=BalanceRisk;DocRisk;Supports; RiskKind=DocumentationRisk;EconomyBalance; Evidence=Gardening:docs/wiki/Gardening_System.md;Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Harvest System:docs/wiki/Apiculture_Beekeeping.md:L307;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Gardening_System.md;Harvest System:docs/wiki/Standard_Crafting.md:L235;Phase 9 conflict checklist: crafting/resource loops versus progression pacing. || PriorNotes: Balance risk is intentionally separated from code correctness in POST-BATCH-F.,PBY-0026,1,GateOutcome=Preserve current balance/reward behavior.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0027,GateRow,127,Staff tooling,XMLSpawner,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for XMLSpawner?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Random Encounters <-> XMLSpawner; Labels=BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency; Evidence=Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/RandomEncou... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0027,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0028,GateRow,128,Staff tooling,Invasion,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Invasion?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Random Encounters <-> Invasion; Labels=BalanceRisk;DocRisk;StaffDependency; Evidence=Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20 || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0028,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0029,GateRow,129,Staff tooling,XMLSpawner,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for XMLSpawner?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=PvP Consent <-> XMLSpawner; Labels=BalanceRisk;Bypasses;Conflicts;DependsOn;DocRisk;StaffDependency; Evidence=Phase 9 conflict checklist: XMLPoints event overrides versus normal PvP consent.;PvP Consent->XMLSpawner:DirectReference:Data/Scripts/Mobiles/Base/PlayerMobile.cs:L12:XmlSpawner;PvP Consent:docs/wiki/pvp-consent-system.md;XMLSpawner:docs/wiki/AI_OVERHAUL_AUDIT.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0029,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0030,GateRow,130,Staff tooling,Invasion,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Invasion?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Government <-> Invasion; Labels=DependsOn;StaffDependency; Evidence=Government->Invasion:DirectReference:Data/Scripts/Custom/Invasion System/Gump/InvasionGump.cs:L8:Invasion;Government->Invasion:DirectReference:Data/Scripts/Custom/Invasion System/Stones/GargoyleCityInvasionStone.cs:L10:Invasion;Government->Invasion:DirectReference:Data/Scripts/Custom/Invasion System/Underworld/StartstoGargoyleCityIlshenar.cs:L27:Invasion;Government:docs/wiki/Government_System.md;Government:docs/wiki/P... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0030,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0031,GateRow,131,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Homestead <-> Static Gump Tool; Labels=DependsOn;StaffDependency; Evidence=Homestead->Static Gump Tool:DirectReference:Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddCooking.cs:L14:StaticGump;Homestead->Static Gump Tool:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana's Winecrafting [2.0]/Items/Craft Items/Tools/WinecraftersTools.cs:L7:STool;Homestead->Static Gump Tool:DirectReference:Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Dracana... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0031,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0032,GateRow,132,Staff tooling,XMLSpawner,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for XMLSpawner?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=XMLSpawner <-> Invasion; Labels=DocRisk;StaffDependency;Supports; Evidence=Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 synergy checklist: XMLSpawner supporting staff events and quests.;XMLSpawner:docs/wiki/AI_OVERHAUL_AUDIT.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0032,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
