"Id","Priority","Status","System","Category","File","Class","Evidence","Risk","Recommendation","Verification","Notes"
"SERIAL-0018","Critical","Open","Custom:Champions","WriteReadAlignment","Data/Scripts/Custom/Champions/Mobiles/Minions/PlagueBeastLord.cs","Server.Mobiles.PlagueBeastLord","Serialize:L290;Deserialize:L308;SerialCtor:L287","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0019","Critical","Open","Custom:Champions","WriteReadAlignment","Data/Scripts/Custom/Champions/System/CannedEvil/ChampionSpawn.cs","Server.Engines.CannedEvil.ChampionSpawn","Serialize:L1144;Deserialize:L1185;SerialCtor:L1052;VersionWrite:L1148;VersionRead:L1191","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0020","Critical","Open","Custom:Government System","WriteReadAlignment","Data/Scripts/Custom/Government System/Items/Stones/CityResurrectionStone.cs","Server.Items.CityResurrectionStone","Serialize:L278;Deserialize:L299;SerialCtor:L228;VersionWrite:L282;VersionRead:L303","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0021","Critical","Open","Custom:Government System","WriteReadAlignment","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/LandLord.cs","Server.Mobiles.BaseLandLord","Serialize:L148;Deserialize:L158;SerialCtor:L125;VersionWrite:L151;VersionRead:L161","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0022","Critical","Open","Custom:Government System","WriteReadAlignment","Data/Scripts/Custom/Government System/NPC Vendor Mall 2.1/MallToken.cs","Server.Items.VendorMallToken","Serialize:L103;Deserialize:L114;SerialCtor:L100;VersionWrite:L106;VersionRead:L117","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0023","Critical","Open","Custom:Government System","WriteReadAlignment","Data/Scripts/Custom/Government System/Resourcebox/ResourceBox.cs","Server.Items.ResourceBox","Serialize:L210;Deserialize:L223;SerialCtor:L207;VersionWrite:L213;VersionRead:L226","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0024","Critical","Open","Custom:Government System","WriteReadAlignment","Data/Scripts/Custom/Government System/Vendor/CityLandLord.cs","Server.Mobiles.CityLandLord","Serialize:L280;Deserialize:L291;SerialCtor:L277;VersionWrite:L283;VersionRead:L294","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0025","High","Open","Custom:Government System","VersionHandling","Data/Scripts/Custom/Government System/Vendor/CityRentedVendor.cs","Server.Mobiles.CityRentedVendor","Serialize:L260;Deserialize:L280;SerialCtor:L56","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0026","High","Open","Custom:Invasion System","VersionHandling","Data/Scripts/Custom/Invasion System/Add Ins/BaseSpecialCreature.cs","Server.Mobiles.BaseSpecialCreature","Serialize:L1070;Deserialize:L1091;SerialCtor:L1050","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0027","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Civilized/GraveRobber.cs","Server.Custom.Confictura.Mobiles.GraveRobber","Serialize:L47;Deserialize:L53;SerialCtor:L42;VersionWrite:L50","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0028","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Civilized/GraveRobber.cs","Server.Custom.Confictura.Mobiles.GraveRobber","Serialize:L47;Deserialize:L53;SerialCtor:L42;VersionWrite:L50","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0029","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Civilized/Malachi.cs","Server.Custom.Confictura.Mobiles.Malachi","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0030","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Civilized/Malachi.cs","Server.Custom.Confictura.Mobiles.Malachi","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0031","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Civilized/RangerOfTheBritainMilitia.cs","Server.Custom.Confictura.Mobiles.RangerOfTheBritainMilitia","Serialize:L33;Deserialize:L39;SerialCtor:L28;VersionWrite:L36","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0032","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Civilized/RangerOfTheBritainMilitia.cs","Server.Custom.Confictura.Mobiles.RangerOfTheBritainMilitia","Serialize:L33;Deserialize:L39;SerialCtor:L28;VersionWrite:L36","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0033","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Constructs/CursedAdventurer.cs","Server.Custom.Confictura.Mobiles.CursedAdventurer","Serialize:L40;Deserialize:L46;SerialCtor:L35;VersionWrite:L43","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0034","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Constructs/CursedAdventurer.cs","Server.Custom.Confictura.Mobiles.CursedAdventurer","Serialize:L40;Deserialize:L46;SerialCtor:L35;VersionWrite:L43","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0035","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Constructs/DiosMonster.cs","Server.Custom.Confictura.Mobiles.DiosMonster","Serialize:L41;Deserialize:L47;SerialCtor:L36;VersionWrite:L44","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0036","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Constructs/DiosMonster.cs","Server.Custom.Confictura.Mobiles.DiosMonster","Serialize:L41;Deserialize:L47;SerialCtor:L36;VersionWrite:L44","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0037","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Constructs/FinalExodus.cs","Server.Custom.Confictura.Mobiles.FinalExodus","Serialize:L61;Deserialize:L67;SerialCtor:L56;VersionWrite:L64","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0038","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Constructs/FinalExodus.cs","Server.Custom.Confictura.Mobiles.FinalExodus","Serialize:L61;Deserialize:L67;SerialCtor:L56;VersionWrite:L64","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0039","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Constructs/ManaGolem.cs","Server.Custom.Confictura.Mobiles.ManaGolem","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0040","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Constructs/ManaGolem.cs","Server.Custom.Confictura.Mobiles.ManaGolem","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0041","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Constructs/TombWarden.cs","Server.Custom.Confictura.Mobiles.TombWarden","Serialize:L39;Deserialize:L45;SerialCtor:L34;VersionWrite:L42","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0042","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Constructs/TombWarden.cs","Server.Custom.Confictura.Mobiles.TombWarden","Serialize:L39;Deserialize:L45;SerialCtor:L34;VersionWrite:L42","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0043","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Cultists/DarkCultist.cs","Server.Custom.Confictura.Mobiles.DarkCultist","Serialize:L37;Deserialize:L43;SerialCtor:L32;VersionWrite:L40","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0044","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Cultists/DarkCultist.cs","Server.Custom.Confictura.Mobiles.DarkCultist","Serialize:L37;Deserialize:L43;SerialCtor:L32;VersionWrite:L40","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0045","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Cultists/DarkCultistApprentice.cs","Server.Custom.Confictura.Mobiles.DarkCultistApprentice","Serialize:L37;Deserialize:L43;SerialCtor:L32;VersionWrite:L40","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0046","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Cultists/DarkCultistApprentice.cs","Server.Custom.Confictura.Mobiles.DarkCultistApprentice","Serialize:L37;Deserialize:L43;SerialCtor:L32;VersionWrite:L40","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0047","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Cultists/DarkDragonCultist.cs","Server.Custom.Confictura.Mobiles.DarkDragonCultist","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0048","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Cultists/DarkDragonCultist.cs","Server.Custom.Confictura.Mobiles.DarkDragonCultist","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0049","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Daemons/FallenAngel.cs","Server.Custom.Confictura.Mobiles.FallenAngel","Serialize:L47;Deserialize:L53;SerialCtor:L42;VersionWrite:L50","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0050","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Daemons/FallenAngel.cs","Server.Custom.Confictura.Mobiles.FallenAngel","Serialize:L47;Deserialize:L53;SerialCtor:L42;VersionWrite:L50","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0051","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Daemons/GuardianOfTheUnderworld.cs","Server.Custom.Confictura.Mobiles.GuardianOfTheUnderworld","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0052","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Daemons/GuardianOfTheUnderworld.cs","Server.Custom.Confictura.Mobiles.GuardianOfTheUnderworld","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0053","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Daemons/PlagueGod.cs","Server.Custom.Confictura.Mobiles.PlagueGod","Serialize:L46;Deserialize:L52;SerialCtor:L41;VersionWrite:L49","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0054","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Daemons/PlagueGod.cs","Server.Custom.Confictura.Mobiles.PlagueGod","Serialize:L46;Deserialize:L52;SerialCtor:L41;VersionWrite:L49","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0055","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Daemons/TombPest.cs","Server.Custom.Confictura.Mobiles.TombPest","Serialize:L47;Deserialize:L53;SerialCtor:L42;VersionWrite:L50","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0056","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Daemons/TombPest.cs","Server.Custom.Confictura.Mobiles.TombPest","Serialize:L47;Deserialize:L53;SerialCtor:L42;VersionWrite:L50","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0057","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Dragons/DarkDragonAvatar.cs","Server.Custom.Confictura.Mobiles.DarkDragonAvatar","Serialize:L66;Deserialize:L72;SerialCtor:L61;VersionWrite:L69","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0058","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Dragons/DarkDragonAvatar.cs","Server.Custom.Confictura.Mobiles.DarkDragonAvatar","Serialize:L66;Deserialize:L72;SerialCtor:L61;VersionWrite:L69","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0059","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Dragons/DragonHydra.cs","Server.Custom.Confictura.Mobiles.DragonHydra","Serialize:L44;Deserialize:L50;SerialCtor:L39;VersionWrite:L47","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0060","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Dragons/DragonHydra.cs","Server.Custom.Confictura.Mobiles.DragonHydra","Serialize:L44;Deserialize:L50;SerialCtor:L39;VersionWrite:L47","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0061","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Dragons/DragonIllusion.cs","Server.Custom.Confictura.Mobiles.DragonIllusion","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0062","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Dragons/DragonIllusion.cs","Server.Custom.Confictura.Mobiles.DragonIllusion","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0063","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Dragons/Wyrmling.cs","Server.Custom.Confictura.Mobiles.Wyrmling","Serialize:L36;Deserialize:L42;SerialCtor:L31;VersionWrite:L39","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0064","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Dragons/Wyrmling.cs","Server.Custom.Confictura.Mobiles.Wyrmling","Serialize:L36;Deserialize:L42;SerialCtor:L31;VersionWrite:L39","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0065","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Elementals/FireIllusion.cs","Server.Custom.Confictura.Mobiles.FireIllusion","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0066","Critical","Open","Custom:Mobiles","WriteReadAlignment","Data/Scripts/Custom/Mobiles/Elementals/FireIllusion.cs","Server.Custom.Confictura.Mobiles.FireIllusion","Serialize:L38;Deserialize:L44;SerialCtor:L33;VersionWrite:L41","Critical","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
"SERIAL-0067","High","Open","Custom:Mobiles","VersionHandling","Data/Scripts/Custom/Mobiles/Elementals/FireKing.cs","Server.Custom.Confictura.Mobiles.FireKing","Serialize:L41;Deserialize:L47;SerialCtor:L36;VersionWrite:L44","High","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 6 marker-based serializer review; confirm against source before code changes."
