"Path","IncludePath","DriftClass","LikelySystem","ProposedFix","Verification"
"Data/Scripts/Items/Houses/Remodeling/LawnGump.cs","Items\Houses\Remodeling\LawnGump.cs","MovedGumpFolder","Items:Houses","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Houses/Remodeling/LawnSecurityGump.cs","Items\Houses\Remodeling\LawnSecurityGump.cs","MovedGumpFolder","Items:Houses","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Houses/Remodeling/ShantyGump.cs","Items\Houses\Remodeling\ShantyGump.cs","MovedGumpFolder","Items:Houses","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Houses/Remodeling/ShantySecurityGump.cs","Items\Houses\Remodeling\ShantySecurityGump.cs","MovedGumpFolder","Items:Houses","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Magical/Gifts/GiftGump.cs","Items\Magical\Gifts\GiftGump.cs","MovedGumpFolder","Items:Magical","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Misc/Games/LiarsDice/CallBluffGump.cs","Items\Misc\Games\LiarsDice\CallBluffGump.cs","MovedGumpFolder","Items:Misc","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Misc/Games/LiarsDice/ExitDiceGump.cs","Items\Misc\Games\LiarsDice\ExitDiceGump.cs","MovedGumpFolder","Items:Misc","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Misc/Games/LiarsDice/GameDiceGump.cs","Items\Misc\Games\LiarsDice\GameDiceGump.cs","MovedGumpFolder","Items:Misc","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Misc/Games/LiarsDice/NewDiceGameGump.cs","Items\Misc\Games\LiarsDice\NewDiceGameGump.cs","MovedGumpFolder","Items:Misc","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Misc/Games/LiarsDice/StatusDiceGump.cs","Items\Misc\Games\LiarsDice\StatusDiceGump.cs","MovedGumpFolder","Items:Misc","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Items/Special/House Raffle/HouseRaffleManagementGump.cs","Items\Special\House Raffle\HouseRaffleManagementGump.cs","MovedGumpFolder","Items:Special","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Bard/SongBookGump.cs","Magic\Bard\SongBookGump.cs","MovedGumpFolder","Magic:Bard","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Death Knight/DeathKnightSpellBookGump.cs","Magic\Death Knight\DeathKnightSpellBookGump.cs","MovedGumpFolder","Magic:Death Knight","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Elementalism/ElementalSpellbookGump.cs","Magic\Elementalism\ElementalSpellbookGump.cs","MovedGumpFolder","Magic:Elementalism","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Holy Man/HolyManSpellBookGump.cs","Magic\Holy Man\HolyManSpellBookGump.cs","MovedGumpFolder","Magic:Holy Man","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Jedi/JediSpellBookGump.cs","Magic\Jedi\JediSpellBookGump.cs","MovedGumpFolder","Magic:Jedi","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Mystic/MysticSpellBookGump.cs","Magic\Mystic\MysticSpellBookGump.cs","MovedGumpFolder","Magic:Mystic","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Research/AncientSpellBookGump.cs","Magic\Research\AncientSpellBookGump.cs","MovedGumpFolder","Magic:Research","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Magic/Syth/SythSpellBookGump.cs","Magic\Syth\SythSpellBookGump.cs","MovedGumpFolder","Magic:Syth","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Quests/Epic/EpicGump.cs","Quests\Epic\EpicGump.cs","MovedGumpFolder","Quests:Epic","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Quests/Museum/MuseumBookGump.cs","Quests\Museum\MuseumBookGump.cs","MovedGumpFolder","Quests:Museum","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Commands/Adddoorgump.cs","System\Commands\Adddoorgump.cs","MovedGumpFolder","System:Commands","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Commands/AdminGump.cs","System\Commands\AdminGump.cs","MovedGumpFolder","System:Commands","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Commands/Player/PartyGump.cs","System\Commands\Player\PartyGump.cs","MovedGumpFolder","System:Commands","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Commands/Player/SkillsGump.cs","System\Commands\Player\SkillsGump.cs","MovedGumpFolder","System:Commands","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Commands/ScanGump.cs","System\Commands\ScanGump.cs","MovedGumpFolder","System:Commands","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Help/HelpGump.cs","System\Help\HelpGump.cs","MovedGumpFolder","System:Help","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Help/PagePromptGump.cs","System\Help\PagePromptGump.cs","MovedGumpFolder","System:Help","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Help/PageQueueGump.cs","System\Help\PageQueueGump.cs","MovedGumpFolder","System:Help","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Help/PageResponseGump.cs","System\Help\PageResponseGump.cs","MovedGumpFolder","System:Help","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Help/SpeechLogGump.cs","System\Help\SpeechLogGump.cs","MovedGumpFolder","System:Help","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/System/Skills/Weapon Abilities/SpecialAttackGump.cs","System\Skills\Weapon Abilities\SpecialAttackGump.cs","MovedGumpFolder","System:Skills","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Apiculture/BeeHiveGumps.cs","Trades\Apiculture\BeeHiveGumps.cs","MovedGumpFolder","Trades:Apiculture","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Bulk Orders/Books/BOBFilterGump.cs","Trades\Bulk Orders\Books\BOBFilterGump.cs","MovedGumpFolder","Trades:Bulk Orders","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Bulk Orders/Books/BOBGump.cs","Trades\Bulk Orders\Books\BOBGump.cs","MovedGumpFolder","Trades:Bulk Orders","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Bulk Orders/Books/BODBuyGump.cs","Trades\Bulk Orders\Books\BODBuyGump.cs","MovedGumpFolder","Trades:Bulk Orders","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Bulk Orders/LargeBODAcceptGump.cs","Trades\Bulk Orders\LargeBODAcceptGump.cs","MovedGumpFolder","Trades:Bulk Orders","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Bulk Orders/LargeBODGump.cs","Trades\Bulk Orders\LargeBODGump.cs","MovedGumpFolder","Trades:Bulk Orders","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Bulk Orders/SmallBODAcceptGump.cs","Trades\Bulk Orders\SmallBODAcceptGump.cs","MovedGumpFolder","Trades:Bulk Orders","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Bulk Orders/SmallBODGump.cs","Trades\Bulk Orders\SmallBODGump.cs","MovedGumpFolder","Trades:Bulk Orders","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Core/CraftGump.cs","Trades\Core\CraftGump.cs","MovedGumpFolder","Trades:Core","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Core/CraftGumpItem.cs","Trades\Core\CraftGumpItem.cs","MovedGumpFolder","Trades:Core","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Core/QueryMakersMarkGump.cs","Trades\Core\QueryMakersMarkGump.cs","MovedGumpFolder","Trades:Core","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Gardening/EmptyTheBowlGump.cs","Trades\Gardening\EmptyTheBowlGump.cs","MovedGumpFolder","Trades:Gardening","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
"Data/Scripts/Trades/Gardening/MainPlantGump.cs","Trades\Gardening\MainPlantGump.cs","MovedGumpFolder","Trades:Gardening","Verify whether the file moved or was intentionally removed; update or remove the Compile Include in a focused project-file repair batch.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU."
