"RiskId","System","DocPath","Title","RiskReason","CanonicalPage","SourceTracePresent","StaleClaims","MissingSourceFiles","ExistingBacklogIds","GeneratedBacklogId","Recommendation","Evidence"
"DOC-RISK-0027","Clone Offline Player Characters","docs/wiki/Clone_Offline_Player_Characters.md","System Name: Clone Offline Player Characters","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0023","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Clone_Offline_Player_Characters.md"
"DOC-RISK-0028","Unknown","docs/wiki/Command_Utilities.md","Command Utilities","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0024","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Command_Utilities.md"
"DOC-RISK-0029","Character Level","docs/wiki/Confictura_Introduction.md","Confictura Introduction","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0025","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Confictura_Introduction.md"
"DOC-RISK-0030","Crafting Core","docs/wiki/Crafting_Core.md","Crafting Core","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0026","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Crafting_Core.md"
"DOC-RISK-0031","AI Overhaul","docs/wiki/Creature_AI_Core.md","Creature AI Core","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0027","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Creature_AI_Core.md"
"DOC-RISK-0032","Unknown","docs/wiki/Creature_Transformation_Guide.md","System Name: Creature Transformation Guide","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0028","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Creature_Transformation_Guide.md"
"DOC-RISK-0033","PlayerMobile Core","docs/wiki/Custom_Title_Feature.md","Custom Title Feature","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0029","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Custom_Title_Feature.md"
"DOC-RISK-0034","Magic Schools","docs/wiki/Death_Knight_Magic.md","Death Knight Magic","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0030","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Death_Knight_Magic.md"
"DOC-RISK-0035","Unknown","docs/wiki/Druidism.md","Druidism","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0031","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Druidism.md"
"DOC-RISK-0036","Magic Schools","docs/wiki/Elementalism.md","Elementalism","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0032","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Elementalism.md"
"DOC-RISK-0037","Unknown","docs/wiki/Enchantments.md","Enchantments","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0033","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Enchantments.md"
"DOC-RISK-0038","Harvest System","docs/wiki/Farmable_Crops_System.md","Farmable Crops System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0034","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Farmable_Crops_System.md"
"DOC-RISK-0039","Homestead","docs/wiki/Farmable_Crops_System.md","Farmable Crops System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0034","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Farmable_Crops_System.md"
"DOC-RISK-0040","Unknown","docs/wiki/fixautomationprompt.md","Wiki Fix Automation Prompt","Stale or Needs Rework marker present","Support","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0035","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/fixautomationprompt.md"
"DOC-RISK-0041","Housing","docs/wiki/Flip_Deed.md","Flip Deed","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0036","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Flip_Deed.md"
"DOC-RISK-0042","Unknown","docs/wiki/GM_Hiding_Stone.md","System Name: GM Hiding Stone","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0037","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/GM_Hiding_Stone.md"
"DOC-RISK-0043","Unknown","docs/wiki/Goliath_Monsters.md","Goliath Monsters","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0038","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Goliath_Monsters.md"
"DOC-RISK-0044","Government","docs/wiki/Government_System.md","Government System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0039","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Government_System.md"
"DOC-RISK-0045","Crafting Core","docs/wiki/Grave_Robbing_Trade.md","Grave Robbing Trade","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0040","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Grave_Robbing_Trade.md"
"DOC-RISK-0046","Harvest System","docs/wiki/Grave_Robbing_Trade.md","Grave Robbing Trade","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0040","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Grave_Robbing_Trade.md"
"DOC-RISK-0047","Unknown","docs/wiki/Guide_To_Adventure_Book.md","Guide To Adventure Book","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0041","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Guide_To_Adventure_Book.md"
"DOC-RISK-0048","Unknown","docs/wiki/Gump_Framework.md","Gump Framework","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0042","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Gump_Framework.md"
"DOC-RISK-0049","Harvest System","docs/wiki/Harvest_Resource_System.md","Harvest Resource System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0043","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Harvest_Resource_System.md"
"DOC-RISK-0050","Unknown","docs/wiki/Help_Request_System.md","Help Request System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0044","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Help_Request_System.md"
"DOC-RISK-0051","Magic Schools","docs/wiki/Holy_Man_Magic.md","Holy Man Magic","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0045","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Holy_Man_Magic.md"
"DOC-RISK-0052","Homestead","docs/wiki/Homestead_System.md","Homestead System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0046","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Homestead_System.md"
"DOC-RISK-0053","Housing","docs/wiki/Housing_System.md","Housing System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0047","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Housing_System.md"
"DOC-RISK-0054","Regions","docs/wiki/Housing_System.md","Housing System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0047","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Housing_System.md"
"DOC-RISK-0055","Invasion","docs/wiki/Invasion_System.md","Invasion System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0048","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Invasion_System.md"
"DOC-RISK-0056","Magic Schools","docs/wiki/Jedi_Magic.md","Jedi Magic","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0049","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Jedi_Magic.md"
"DOC-RISK-0057","Unknown","docs/wiki/Jester_Magic.md","Jester Magic","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0050","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Jester_Magic.md"
"DOC-RISK-0058","Unknown","docs/wiki/Knight_Chivalry.md","Knight Chivalry","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0051","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Knight_Chivalry.md"
"DOC-RISK-0059","Harvest System","docs/wiki/Librarian_Trade.md","Librarian Trade","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0052","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Librarian_Trade.md"
"DOC-RISK-0060","PlayerMobile Core","docs/wiki/Mage_Spellcasting_Tips.md","Mage Spellcasting Tips","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0053","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Mage_Spellcasting_Tips.md"
"DOC-RISK-0061","Vendor Core","docs/wiki/Mage_Spellcasting_Tips.md","Mage Spellcasting Tips","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0053","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Mage_Spellcasting_Tips.md"
"DOC-RISK-0062","Magic Schools","docs/wiki/Magery_Spell_Color_Setting.md","Magery Spell Color Setting","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0054","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magery_Spell_Color_Setting.md"
"DOC-RISK-0063","Obsolete Scripts","docs/wiki/Magery_Spell_Color_Setting.md","Magery Spell Color Setting","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0054","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magery_Spell_Color_Setting.md"
"DOC-RISK-0064","PlayerMobile Core","docs/wiki/Magery_Spell_Color_Setting.md","Magery Spell Color Setting","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0054","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magery_Spell_Color_Setting.md"
"DOC-RISK-0065","Regions","docs/wiki/Magery_Spell_Color_Setting.md","Magery Spell Color Setting","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0054","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magery_Spell_Color_Setting.md"
"DOC-RISK-0066","Vendor Core","docs/wiki/Magery_Spell_Color_Setting.md","Magery Spell Color Setting","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0054","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magery_Spell_Color_Setting.md"
"DOC-RISK-0067","Unknown","docs/wiki/Magery_Spell_System.md","Magery Spell System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0055","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magery_Spell_System.md"
"DOC-RISK-0068","Magic Schools","docs/wiki/Magic_Toolbars_Guide.md","Magic Toolbars Guide","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0056","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magic_Toolbars_Guide.md"
"DOC-RISK-0069","PlayerMobile Core","docs/wiki/Magic_Toolbars_Guide.md","Magic Toolbars Guide","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0056","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Magic_Toolbars_Guide.md"
"DOC-RISK-0070","Gardening","docs/wiki/Misc_Core_Systems.md","Misc Core Systems","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0057","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Misc_Core_Systems.md"
"DOC-RISK-0071","OmniAI","docs/wiki/Misc_Magic_Spells.md","Misc Magic Spells","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0058","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Misc_Magic_Spells.md"
"DOC-RISK-0072","Monster Nests","docs/wiki/Monster_Nest_System.md","System Name: Monster Nest System","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0059","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Monster_Nest_System.md"
"DOC-RISK-0073","Magic Schools","docs/wiki/Mystic_Magic.md","Mystic Magic","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0060","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Mystic_Magic.md"
"DOC-RISK-0074","Unknown","docs/wiki/Necromancy.md","Necromancy","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0061","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Necromancy.md"
"DOC-RISK-0075","Unknown","docs/wiki/Ninjitsu.md","Ninjitsu","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0062","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Ninjitsu.md"
"DOC-RISK-0076","Unknown","docs/wiki/NPC_Control_Commands.md","NPC Control Commands","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0063","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/NPC_Control_Commands.md"
"DOC-RISK-0077","Vendor Core","docs/wiki/NPC_Mage_Advice.md","NPC Mage Advice","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0064","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/NPC_Mage_Advice.md"
"DOC-RISK-0078","Boats","docs/wiki/NPC_Shipwright_Sailing_Guide.md","NPC Shipwright Sailing Guide","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0065","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/NPC_Shipwright_Sailing_Guide.md"
"DOC-RISK-0079","Vendor Core","docs/wiki/NPC_Shipwright_Sailing_Guide.md","NPC Shipwright Sailing Guide","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0065","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/NPC_Shipwright_Sailing_Guide.md"
"DOC-RISK-0080","Obsolete Scripts","docs/wiki/Obsolete_Script_Collection.md","Obsolete Script Collection","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0066","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Obsolete_Script_Collection.md"
"DOC-RISK-0081","Homestead","docs/wiki/offline-skill-training.md","System Name: Offline Skill Training","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0067","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/offline-skill-training.md"
"DOC-RISK-0082","Magic Schools","docs/wiki/offline-skill-training.md","System Name: Offline Skill Training","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0067","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/offline-skill-training.md"
"DOC-RISK-0083","Offline Skill Training","docs/wiki/offline-skill-training.md","System Name: Offline Skill Training","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0067","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/offline-skill-training.md"
"DOC-RISK-0084","Vendor Core","docs/wiki/offline-skill-training.md","System Name: Offline Skill Training","Missing source-backed claim or alias cleanup needed;Stale or Needs Rework marker present","Canonical","No","Contains Needs Rework/TODO/stub markers that require source-backed follow-up.","","","DOC-0067","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/offline-skill-training.md"
"DOC-RISK-0085","OmniAI","docs/wiki/OmniAI.md","OmniAI","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0068","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/OmniAI.md"
"DOC-RISK-0086","Unknown","docs/wiki/Pandoras_Gift_Box.md","Pandora's Gift Box","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0069","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Pandoras_Gift_Box.md"
"DOC-RISK-0087","Government","docs/wiki/Player_Government_System_Guide.md","Player Government System Guide","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0070","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Player_Government_System_Guide.md"
"DOC-RISK-0088","Regions","docs/wiki/Player_Government_System_Guide.md","Player Government System Guide","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0070","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Player_Government_System_Guide.md"
"DOC-RISK-0089","Unknown","docs/wiki/player-range-sensitive-mod.md","System Name: Player Range Sensitive Deactivation","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0071","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/player-range-sensitive-mod.md"
"DOC-RISK-0090","Unknown","docs/wiki/point-command.md","System Name: Point Command","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0072","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/point-command.md"
"DOC-RISK-0091","PlayerMobile Core","docs/wiki/pvp-consent-system.md","Legacy Slug: PvP Consent System","Alias or legacy slug has independent claims;Missing source-backed claim or alias cleanup needed","Alias","No","","","","DOC-0073","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/pvp-consent-system.md"
"DOC-RISK-0092","PvP Consent","docs/wiki/pvp-consent-system.md","Legacy Slug: PvP Consent System","Alias or legacy slug has independent claims;Missing source-backed claim or alias cleanup needed","Alias","No","","","","DOC-0073","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/pvp-consent-system.md"
"DOC-RISK-0093","Regions","docs/wiki/pvp-consent-system.md","Legacy Slug: PvP Consent System","Alias or legacy slug has independent claims;Missing source-backed claim or alias cleanup needed","Alias","No","","","","DOC-0073","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/pvp-consent-system.md"
"DOC-RISK-0094","Magic Schools","docs/wiki/Quest_Framework.md","Quest Framework","Missing source-backed claim or alias cleanup needed","Canonical","No","","","","DOC-0074","Resolve in documentation backlog with source traces before relying on player-facing claims.","Documentation truth row: docs/wiki/Quest_Framework.md"
