"Id","SourceId","Priority","Status","System","Category","Files","Evidence","Risk","RecommendedFix","Verification","Notes","Source"
"RB-00011","P10-F00011","P0","Ready","Custom:Vhaerun's CRL Homestead System [2.0]","Project include drift","","MovedGumpFolder; count=2; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00012","P10-F00012","P0","Ready","Custom:Government System","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00013","P10-F00013","P0","Ready","Quests:Museum","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00014","P10-F00014","P0","Ready","Trades:Apiculture","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00015","P10-F00015","P0","Ready","Quests:Epic","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00016","P10-F00016","P0","Ready","System:Skills","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00017","P10-F00017","P0","Ready","Magic:Syth","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00018","P10-F00018","P0","Ready","Magic:Holy Man","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00019","P10-F00019","P0","Ready","Magic:Mystic","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00020","P10-F00020","P0","Ready","Magic:Jedi","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00021","P10-F00021","P0","Ready","Magic:Elementalism","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00022","P10-F00022","P0","Ready","Magic:Death Knight","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00023","P10-F00023","P0","Ready","Magic:Bard","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00024","P10-F00024","P0","Ready","Items:Special","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00025","P10-F00025","P0","Ready","Items:Magical","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00026","P10-F00026","P0","Ready","Items:Books","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00027","P10-F00027","P0","Ready","Custom:PvPConsent","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00028","P10-F00028","P0","Ready","Magic:Research","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00029","P10-F00029","P0","Ready","Trades:Guild","Project include drift","","MovedGumpFolder; count=1; evidence=phase-02-missing-compile-targets-classified.csv","Build","Review each include in the group, then remove stale entries or correct paths in a focused Scripts.csproj batch.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00030","P10-F00030","P1","Ready","Custom:XMLSpawner","Project include drift","","ActiveSourceMissingInclude; count=20; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00031","P10-F00031","P1","Ready","Items:Houses","Project include drift","","ActiveSourceMissingInclude; count=7; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00032","P10-F00032","P1","Ready","Trades:Bulk Orders","Project include drift","","ActiveSourceMissingInclude; count=7; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00033","P10-F00033","P1","Ready","Custom:CloneOfflinePlayerCharacters","Project include drift","","ActiveSourceMissingInclude; count=6; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00034","P10-F00034","P1","Ready","Items:Misc","Project include drift","","ActiveSourceMissingInclude; count=5; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00035","P10-F00035","P1","Ready","System:Help","Project include drift","","ActiveSourceMissingInclude; count=5; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00036","P10-F00036","P1","Ready","System:Commands","Project include drift","","ActiveSourceMissingInclude; count=5; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00037","P10-F00037","P1","Ready","Trades:Gardening","Project include drift","","ActiveSourceMissingInclude; count=4; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00038","P10-F00038","P1","Ready","Custom:Government System","Project include drift","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00039","P10-F00039","P1","Ready","Trades:Core","Project include drift","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00040","P10-F00040","P1","Ready","Items:Boats","Project include drift","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00041","P10-F00041","P1","Ready","Items:Gifts","Project include drift","","ActiveSourceMissingInclude; count=3; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00042","P10-F00042","P1","Ready","Custom:Vhaerun's CRL Homestead System [2.0]","Project include drift","","ActiveSourceMissingInclude; count=2; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00043","P10-F00043","P1","Ready","Quests:Epic","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00044","P10-F00044","P1","Ready","Quests:Museum","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00045","P10-F00045","P2","Open","Custom:AIOverhaul","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00046","P10-F00046","P1","Ready","Trades:Apiculture","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00047","P10-F00047","P1","Ready","Magic:Syth","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00048","P10-F00048","P1","Ready","System:Skills","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00049","P10-F00049","P1","Ready","Magic:Research","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00050","P10-F00050","P1","Ready","Magic:Death Knight","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00051","P10-F00051","P1","Ready","Magic:Jedi","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00052","P10-F00052","P1","Ready","Magic:Holy Man","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00053","P10-F00053","P1","Ready","Magic:Elementalism","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00054","P10-F00054","P1","Ready","Magic:Bard","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00055","P10-F00055","P1","Ready","Items:Trades","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00056","P10-F00056","P1","Ready","Items:Special","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00057","P10-F00057","P1","Ready","Items:Magical","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00058","P10-F00058","P1","Ready","Items:Books","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00059","P10-F00059","P1","Ready","Custom:PvPConsent","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00060","P10-F00060","P1","Ready","Magic:Mystic","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00061","P10-F00061","P1","Ready","Trades:Guild","Project include drift","","ActiveSourceMissingInclude; count=1; evidence=phase-02-unincluded-source-classified.csv","Build","Review active status and either add Compile Include entries or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1; run MSBuild Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00062","P10-F00062","P0","Ready","Custom:Book Publisher [2.0]","Save compatibility","Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs","Serialize:L215;Deserialize:L193;SerialCtor:L190;VersionWrite:L218;VersionRead:L196; class=Server.Items.PublishedBook; category=WriteReadAlignment","Save","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00063","P10-F00063","P0","Ready","Custom:CEO's GM Hiding Stone [2.0]","Save compatibility","Data/Scripts/Custom/CEO's GM Hiding Stone [2.0]/gmhidingstone.cs","Serialize:L748;Deserialize:L758;SerialCtor:L745;VersionWrite:L751;VersionRead:L762; class=Server.Items.GMHidingStone; category=WriteReadAlignment","Save","Compare ordered writes and reads manually; preserve save order or add a migration plan before edits.","Manual source review plus Phase 6 register rerun.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00064","P10-F00064","P1","Ready","Custom:Champions","Save compatibility","Data/Scripts/Custom/Champions/Items/PlagueBeastBackpack.cs","Serialize:L209;Deserialize:L216;SerialCtor:L206; class=Server.Items.PlagueBeastBackpack; category=VersionHandling","Save","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
"RB-00065","P10-F00065","P1","Ready","Custom:Champions","Save compatibility","Data/Scripts/Custom/Champions/Items/PlagueBeastBlood.cs","Serialize:L118;Deserialize:L125;SerialCtor:L115; class=Server.Items.PlagueBeastBlood; category=VersionHandling","Save","Confirm current save version write/read and add guarded older-version handling where needed.","Manual source review plus Phase 6 register rerun.","Generated by Phase 10 risk-specific review; confirm against source before source edits.","Phase 10 risk-specific review"
