"SystemA","SystemB","DomainsA","DomainsB","Labels","RelationshipSummary","EvidenceStrength","EdgeCount","HardEdgeCount","SoftEdgeCount","SpeculativeEdgeCount","GraphEdgeTypes","RuntimeHookCount","DocumentationRiskCount","KnownNeedsReworkCount","RiskType","ObjectiveImpact","StaffDependency","Recommendation","Evidence","Verification","ReviewStatus"
"Character Level","Harvest System","Progression","Crafting;Economy","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","7","8","13","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Harvest System:docs/wiki/Apiculture_Beekeeping.md:L313;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Grave_Robbing_Trade.md;Harvest System:docs/wiki/Standard_Crafting.md:L249;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Bulk Orders","Progression","Crafting;Economy","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","63","6","3","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Bulk Orders:docs/wiki/Animal_Shape_Stones.md;Bulk Orders:docs/wiki/Bulk_Order_System.md;Bulk Orders:docs/wiki/SystemAudit.md:L29;Bulk Orders:docs/wiki/SystemAudit.md:L41;Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Gardening","Progression","Crafting;Economy","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","48","4","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Housing","Progression","Housing;Economy","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","271","7","6","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Housing:docs/wiki/Flip_Deed.md;Housing:docs/wiki/Housing_System.md;Housing:docs/wiki/offline-skill-training.md:L38;Housing:docs/wiki/SystemAudit.md:L71;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Boats","Progression","Travel;Housing","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","64","7","4","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Boats:docs/wiki/Boat_Core_Mechanics.md;Boats:docs/wiki/boat-navigation-control.md;Boats:docs/wiki/SystemAudit.md:L15;Boats:docs/wiki/SystemAudit.md:L6;Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Regions","Progression","World;PvP;Government","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","309","10","5","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Regions:docs/wiki/Housing_System.md;Regions:docs/wiki/Magery_Spell_Color_Setting.md;Regions:docs/wiki/offline-skill-training.md:L38;Regions:docs/wiki/SystemAudit.md:L24","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","PlayerMobile Core","Progression","Core;Progression;Combat","DependsOn","Dependency graph has hard source/runtime/save/project/config edges between these systems.","SourceVerified","1","1","0","0","DirectReference","3","12","12","MaintenanceCoupling","Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","False","Review exact edges before moving files or changing behavior.","Character Level->PlayerMobile Core:DirectReference:Data/Scripts/Custom/Progression/CharacterLevel/CharacterLevelService.cs:L104:PlayerMobile;Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;PlayerMobile Core:docs/wiki/Animal_Trainer_Stable_Claim.md;PlayerMobile Core:docs/wiki/Barbaric_Play_Style.md;PlayerMobile Core:docs/wiki/SystemAudit.md:L47;PlayerMobile Core:docs/wiki/SystemAudit.md:L60","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Character Level","Vendor Core","Progression","Economy","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","151","18","19","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Vendor Core:docs/CCWM/Confictura_Codex_World_Map.md:L9444;Vendor Core:docs/wiki/Animal_Trainer_Stable_Claim.md;Vendor Core:docs/wiki/Apiculture_Beekeeping.md;Vendor Core:docs/wiki/Book_Publisher.md:L28","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Character Level","Obsolete Scripts","Progression","Legacy;Documentation","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","14","7","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Character Level:docs/wiki/Character_Level_Recon_Report.md;Character Level:docs/wiki/Confictura_Introduction.md;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Obsolete Scripts:docs/wiki/Magery_Spell_Color_Setting.md;Obsolete Scripts:docs/wiki/Obsolete_Script_Collection.md;Obsolete Scripts:docs/wiki/SystemAudit.md:L103","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Random Encounters","PvP Consent","PvE;Progression","PvP;Combat","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","40","3","1","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;PvP Consent:docs/wiki/pvp-consent-system.md;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Random Encounters","Government","PvE;Progression","Government;Economy;Documentation","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","281","4","2","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Government:docs/wiki/Government_System.md;Government:docs/wiki/Player_Government_System_Guide.md;Government:docs/wiki/SystemAudit.md:L24;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Random Encounters","Homestead","PvE;Progression","Economy;Crafting;Housing","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","294","6","8","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Homestead:docs/wiki/Farmable_Crops_System.md;Homestead:docs/wiki/Homestead_System.md;Homestead:docs/wiki/Standard_Crafting.md:L248;Homestead:docs/wiki/SystemAudit.md:L27;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Random Encounters","XMLSpawner","PvE;Progression","Staff events;PvE;Documentation","BalanceRisk;Conflicts;DependsOn;DocRisk;StaffDependency","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Staff-spawned XML events can overlap automated encounter objectives and rewards.","SourceVerified","5","5","0","0","DirectReference","597","3","2","DocumentationRisk;MaintenanceCoupling;PvEBalance","Exploration and staff event goals can collide.;Shared runtime or persistence surface; player objective impact requires source review before behavior changes.","True","Review event reward and spawn precedence.;Review exact edges before moving files or changing behavior.","Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/PvE/RandomEncounters/EncounterEngine.cs:L16:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/PvE/RandomEncounters/Helpers.cs:L15:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/PvE/RandomEncounters/Records.cs:L14:XmlSpawner;Random Encounters->XMLSpawner:DirectReference:Data/Scripts/Custom/PvE/R...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Random Encounters","Invasion","PvE;Progression","PvE;Staff events","BalanceRisk;DocRisk;StaffDependency","Automated encounters and invasions can overlap danger/reward pacing, especially when staff events are active.","PhaseReviewSeed","0","0","0","0","","142","3","2","DocumentationRisk;PvEBalance","Exploration and staff event goals can collide.","True","Review event windows and reward stacking.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Random Encounters","Champions","PvE;Progression","PvE;Progression","BalanceRisk;DocRisk;Duplicates","Automated encounter rewards and champion rewards can stack PvE progression.","PhaseReviewSeed","0","0","0","0","","36","3","3","DocumentationRisk;PvEBalance","Exploration and combat goals can accelerate progression.","False","Review reward cadence across automated PvE systems.","Champions:docs/wiki/Champion_Spawns.md;Champions:docs/wiki/Champion_Spawns.md:L82;Champions:docs/wiki/SystemAudit.md:L34;Phase 9 conflict checklist: staff-spawned events versus automated PvE systems.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Random Encounters","Monster Nests","PvE;Progression","PvE;Exploration","BalanceRisk;DocRisk;Duplicates","Encounter and nest systems can duplicate roaming PvE objectives.","PhaseReviewSeed","0","0","0","0","","12","3","1","DocumentationRisk;PvEBalance","Exploration goals may become repetitive or over-rewarded.","False","Keep distinct objective roles for encounters and nests.","Monster Nests:docs/wiki/Monster_Nest_System.md;Phase 9 player objective review: exploration goals.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
"Random Encounters","Clone Offline Player Characters","PvE;Progression","AI;PvE","NoLink","No generated dependency graph edge or Phase 9 manual review rule connects these systems.","NoGeneratedEvidence","0","0","0","0","","21","3","2","NoneGenerated","No direct player objective relationship generated by this audit pass.","False","No action unless future source review finds a hidden dependency.","Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;Negative evidence: no pair edge in dependency graph and no manual Phase 9 rule.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","NoGeneratedLink"
"Random Encounters","Offline Skill Training","PvE;Progression","Progression","BalanceRisk;Bypasses;DocRisk","Offline progression can bypass danger created by active random encounters.","PhaseReviewSeed","0","0","0","0","","16","3","2","DocumentationRisk;ProgressionBalance","Exploration danger may not gate progression.","False","Review offline gains against active encounter reward pacing.","Offline Skill Training:docs/wiki/offline-skill-training.md;Offline Skill Training:docs/wiki/offline-skill-training.md:L38;Phase 9 balance review: bypass intended danger.;Random Encounters:docs/wiki/Random_Encounter_Engine.md;Random Encounters:docs/wiki/Search_System.md;Random Encounters:docs/wiki/SystemAudit.md:L20","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules.","Reviewed"
