"Path","Root","PrimaryRole","System","Evidence","FollowUp"
"Data/Scripts/System/Chat/Gumps/3.0 Skin/LoggingGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/MailGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/MessageGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/MultiGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/PmNotifyGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/3.0 Skin/SpamGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/Error Reporting/ErrorsGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/Error Reporting/ErrorsNotifyGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/Gumps Plus/BackgroundPlus.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/Gumps Plus/ButtonPlus.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/Gumps Plus/HTML.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/Gumps Plus/HtmlPlus.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Chat/Gumps/Gumps Plus/InfoGump.cs","System","Unknown","System:Chat","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Attributes.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/BoundingBoxPicker.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Extensions/BaseExtension.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Extensions/Compilers/ConditionalCompiler.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Extensions/Compilers/DistinctCompiler.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Extensions/Compilers/SortCompiler.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/AreaCommandImplementor.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/ContainedCommandImplementor.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/GlobalCommandImplementor.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/MultiCommandImplementor.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/ObjectConditional.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/OnlineCommandImplementor.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/SelfCommandImplementor.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Commands/Implementors/SerialCommandImplementor.cs","System","Unknown","System:Commands","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/BaseGridGump.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/ConfirmBreakCrystalGump.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/Go/ChildNode.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/Go/LocationTree.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/Go/ParentNode.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/Guilds/GuildListGump.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/Guilds/GuildMobileListGump.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Gumps/Properties/PropsConfig.cs","System","Unknown","System:Gumps","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/ContextMenu.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/CurrentExpansion.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/DataPath.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/Email.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/Emitter.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/Geometry.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/InhumanSpeech.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/MapDefinitions.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/Materials.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/RaceDefinitions.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/RandomThings.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/RegenRates.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/Settings.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/ShrinkTable.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/Targeting.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/Titles.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Misc/UnhandledPackets.cs","System","Unknown","System:Misc","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Snooping.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/ArmorIgnore.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/ArmorPierce.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Bladeweave.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/ConcussionBlow.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/CrushingBlow.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Disarm.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Dismount.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Disrobe.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/DoubleShot.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/DoubleStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/ForceArrow.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/InfectiousStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/LightningArrow.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/MovingShot.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/NerveStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/RidingSwipe.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/SerpentArrow.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/ShadowStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/WhirlwindAttack.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/AchiliesStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ConsecratedStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/DeathBlow.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/DevestatingBlow.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/DoubleWhirlwindAttack.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/EarthStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ElementalStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/FireStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/FistsOfFury.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/FreezeStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/LightningStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/MeleeProtection.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/MeleeProtection2.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/RidingAttack.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ShadowInfectiousStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/SpinAttack.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/StunningStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ToxicStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ZapDexStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ZapIntStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ZapManaStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ZapStamStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
"Data/Scripts/System/Skills/Weapon Abilities/Extra/ZapStrStrike.cs","System","Unknown","System:Skills","no Phase 1 marker or path classifier matched","Review folder, namespace, type names, docs, and references to assign a durable owner and role."
