"NoteId","Systems","Synergy","PreserveDuringReorg","Evidence","Verification"
"KEEP-0011","XMLSpawner <-> Staff Toolbar","Staff toolbar workflows can expose or support XMLSpawner-heavy event operations.","Keep staff-only access and documentation visible.","Phase 9 staff-dependency review.;Staff Toolbar:docs/wiki/Staff_Toolbar.md;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0012","XMLSpawner <-> Static Gump Tool","Static gump tooling can support XMLSpawner events and staff-authored content.","Keep staff-only access and docs visible.","Phase 9 staff-dependency review.;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23;XMLSpawner:docs/wiki/SystemAudit.md:L22;XMLSpawner:docs/wiki/XML_Spawner_Enhancements.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0013","Invasion <-> Staff Toolbar","Invasion operations can depend on staff tooling for setup, moderation, or intervention.","Document required access and manual steps.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 staff-dependency review.;Staff Toolbar:docs/wiki/Staff_Toolbar.md","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0014","Invasion <-> Static Gump Tool","Static gump tooling may support event presentation or staff-authored invasion content.","Document required access and manual steps.","Invasion:docs/wiki/Invasion_System.md;Invasion:docs/wiki/SystemAudit.md:L21;Phase 9 staff-dependency review.;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0015","Clone Offline Player Characters <-> OmniAI","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Offline player clones rely on AI-like behavior and can affect PvE danger or reward expectations.","Review clone combat power and loot/reward interactions.;Review exact edges before moving files or changing behavior.","Clone Offline Player Characters->OmniAI:DirectReference:Data/Scripts/Custom/CloneOfflinePlayerCharacters/CharacterClone.cs:L97:OmniAI;Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;High-risk review area: AI and offline player systems.;OmniAI:docs/wiki/Misc_Magic_Spells.md;OmniAI:docs/wiki/OmniAI.md;OmniAI:docs/wiki/SystemAudit.md:L26","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0016","Clone Offline Player Characters <-> AI Overhaul","AI behavior changes can affect offline player clone difficulty and world behavior.","Review clone behavior after AI changes.","AI Overhaul:docs/wiki/Creature_AI_Core.md;Clone Offline Player Characters:docs/wiki/Clone_Offline_Player_Characters.md;Clone Offline Player Characters:docs/wiki/SystemAudit.md:L32;High-risk review area: AI and offline player systems.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0017","Staff Toolbar <-> Static Gump Tool","Staff UI tools support event operations but can duplicate administrative surfaces.","Document separate staff workflows or backlog consolidation review.","Phase 9 staff-dependency review.;Staff Toolbar:docs/wiki/Staff_Toolbar.md;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0018","Spell Framework <-> Magic Schools","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Shared spell registration enables varied build identity, while high-ID families can stress registry capacity.","Preserve the framework/school split and backlog spell ID capacity review.;Review exact edges before moving files or changing behavior.","Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/Gumps/SongBookGump.cs:L20:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongBook.cs:L10:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongCommandList.cs:L115:Spellbook;Magic Schools->Spell Framework:DirectReference:Data/Scripts/Magic/Bard/SongSpells.cs:L78:SpellInfo;Magic Schools:docs/wiki/Bard_Song_Magic.md;Magic Schools:docs/wiki/Death_Knight_Magic.md;...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0019","Crafting Core <-> Harvest System","Dependency graph has hard source/runtime/save/project/config edges between these systems.;Harvest resources are a normal upstream dependency for crafting.","Preserve source-to-crafting flow and document rates separately.;Review exact edges before moving files or changing behavior.","Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L248;Crafting Core:docs/wiki/Standard_Crafting.md:L249;Harvest System->Crafting Core:DirectReference:Data/Scripts/Items/Trades/Harvest Tools/BaseHarvestTool.cs:L262:CraftSystem;Harvest System:docs/wiki/Apiculture_Beekeeping.md:L313;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Grave_Robbing_Trade.md;Harvest System:docs/wiki/Standar...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0020","Crafting Core <-> Bulk Orders","Bulk orders provide structured objectives for crafting progression.;Dependency graph has hard source/runtime/save/project/config edges between these systems.","Preserve objective loop; review reward acceleration separately.;Review exact edges before moving files or changing behavior.","Bulk Orders->Crafting Core:DirectReference:Data/Scripts/Trades/Bulk Orders/SmallSmithBOD.cs:L159:CraftSystem;Bulk Orders->Crafting Core:DirectReference:Data/Scripts/Trades/Bulk Orders/SmallTailorBOD.cs:L146:CraftSystem;Bulk Orders:docs/wiki/Animal_Shape_Stones.md;Bulk Orders:docs/wiki/Bulk_Order_System.md;Bulk Orders:docs/wiki/SystemAudit.md:L29;Bulk Orders:docs/wiki/SystemAudit.md:L41;Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs...","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0021","Crafting Core <-> Gardening","Gardening can feed crafting inputs and economy loops.","Keep input relationship visible in dependency docs.","Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L248;Crafting Core:docs/wiki/Standard_Crafting.md:L249;Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Phase 9 domain review: Crafting and Economy.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
"KEEP-0022","Harvest System <-> Gardening","Harvest and gardening systems both provide resources and can stack supply rates.","Review resource faucet overlap before tuning.","Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Harvest System:docs/wiki/Apiculture_Beekeeping.md:L313;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Grave_Robbing_Trade.md;Harvest System:docs/wiki/Standard_Crafting.md:L249;Phase 9 conflict checklist: crafting/resource loops versus progression pacing.","Generated from Phase 8 dependency graph, Phase 7 documentation truth table, Phase 5 runtime hook map, and explicit Phase 9 checklist rules."
