"Id","System","Status","VerificationStatus","Reason","NextAction","CardPath"
"SC-014","Staff Toolbar","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/staff-toolbar.md"
"SC-015","Static Gump Tool","Open","NeedsRuntimeReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/static-gump-tool.md"
"SC-016","Spell Framework","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/spell-framework.md"
"SC-017","Magic Schools","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/magic-schools.md"
"SC-018","Crafting Core","Open","NeedsRuntimeReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/crafting-core.md"
"SC-019","Harvest System","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/harvest-system.md"
"SC-020","Bulk Orders","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/bulk-orders.md"
"SC-021","Gardening","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/gardening.md"
"SC-022","Housing","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/housing.md"
"SC-023","Boats","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/boats.md"
"SC-024","Regions","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/regions.md"
"SC-025","PlayerMobile Core","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/playermobile-core.md"
"SC-026","Vendor Core","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/vendor-core.md"
"SC-027","Obsolete Scripts","Open","NeedsSerializationReview","Generated card requires deeper runtime, serialization, dependency, and documentation review.","Use Phases 5 through 8 to replace marker-based partial verification with source-traced review.","docs/codebase-audit/outputs/system-cards/obsolete-scripts.md"
