"Path","DriftClass","Priority","LikelySystem","RuntimeMarkers","ProposedFix","Verification"
"Data/Scripts/Custom/PvPConsent/Gumps/PKNONPKGUMP.cs","ActiveSourceMissingInclude","P1","Custom:PvPConsent","CommandSystem.Register;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Cooking/Package Systems/Crystal's Cheese System/Gumps/CheeseForm_gump.cs","ActiveSourceMissingInclude","P1","Custom:Vhaerun's CRL Homestead System [2.0]","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/Vhaerun's CRL Homestead System [2.0]/Vhaerun's CRL Crops/Gumps/UpRootGump.cs","ActiveSourceMissingInclude","P1","Custom:Vhaerun's CRL Homestead System [2.0]","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/Gumps/XmlSpawnerGumps.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlAttach/Gumps/XmlGetAttachGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","CommandSystem.Register;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/CTFGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/DeathBallGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/DeathmatchGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/KingOfTheHillGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/LastManStandingGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/TeamDeathballGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/TeamDeathmatchGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/TeamKotHGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/ChallengeGames/Gumps/TeamLMSGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlPoints PvP/Gumps/PointsRewardGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/Gumps/QuestLogGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/Gumps/QuestRewardGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/Gumps/XmlPlayerQuestGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/Gumps/XmlQuestBookGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/Gumps/XmlQuestGumps.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlQuest/Gumps/XmlQuestHolderGumps.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlUtils/Gumps/XmlCategorizedAddGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump;Timer.DelayCall","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Custom/XMLSpawner/XmlUtils/Gumps/XmlPartialCategorizedAddGump.cs","ActiveSourceMissingInclude","P1","Custom:XMLSpawner","OnResponse;SendGump;Timer.DelayCall","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Boats/Gumps/ConfirmDryDockGump.cs","ActiveSourceMissingInclude","P1","Items:Boats","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Boats/Gumps/FindboatGump.cs","ActiveSourceMissingInclude","P1","Items:Boats","CommandSystem.Register;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Boats/Gumps/TillerManGump.cs","ActiveSourceMissingInclude","P1","Items:Boats","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Books/BulletinBoards/Gumps/BoardGump.cs","ActiveSourceMissingInclude","P1","Items:Books","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Gifts/Gumps/Crystal Token Gump.cs","ActiveSourceMissingInclude","P1","Items:Gifts","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Gifts/Gumps/NinthAnniversaryCoinGump.cs","ActiveSourceMissingInclude","P1","Items:Gifts","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Gifts/Gumps/Shadow Token Gump.cs","ActiveSourceMissingInclude","P1","Items:Gifts","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Houses/Monopoly/Gumps/Error Reporting/Gumps/ErrorsGump.cs","ActiveSourceMissingInclude","P2","Items:Houses","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Houses/Monopoly/Gumps/Error Reporting/Gumps/ErrorsNotifyGump.cs","ActiveSourceMissingInclude","P2","Items:Houses","","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Houses/Remodeling/Gumps/ConfirmRemoveGump.cs","ActiveSourceMissingInclude","P1","Items:Houses","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Houses/Remodeling/Gumps/LawnGump.cs","ActiveSourceMissingInclude","P1","Items:Houses","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Houses/Remodeling/Gumps/LawnSecurityGump.cs","ActiveSourceMissingInclude","P1","Items:Houses","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Houses/Remodeling/Gumps/ShantyGump.cs","ActiveSourceMissingInclude","P1","Items:Houses","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Houses/Remodeling/Gumps/ShantySecurityGump.cs","ActiveSourceMissingInclude","P1","Items:Houses","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Magical/Gifts/Gumps/GiftGump.cs","ActiveSourceMissingInclude","P1","Items:Magical","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Misc/Games/LiarsDice/Gumps/CallBluffGump.cs","ActiveSourceMissingInclude","P1","Items:Misc","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Misc/Games/LiarsDice/Gumps/ExitDiceGump.cs","ActiveSourceMissingInclude","P1","Items:Misc","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Misc/Games/LiarsDice/Gumps/GameDiceGump.cs","ActiveSourceMissingInclude","P1","Items:Misc","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Misc/Games/LiarsDice/Gumps/NewDiceGameGump.cs","ActiveSourceMissingInclude","P1","Items:Misc","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Misc/Games/LiarsDice/Gumps/StatusDiceGump.cs","ActiveSourceMissingInclude","P1","Items:Misc","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Special/House Raffle/Gumps/HouseRaffleManagementGump.cs","ActiveSourceMissingInclude","P1","Items:Special","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Items/Trades/Magical/RunebookLogging.cs","ActiveSourceMissingInclude","P1","Items:Trades","Initialize","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Bard/Gumps/SongBookGump.cs","ActiveSourceMissingInclude","P1","Magic:Bard","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Death Knight/Gumps/DeathKnightSpellBookGump.cs","ActiveSourceMissingInclude","P1","Magic:Death Knight","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Elementalism/Gumps/ElementalSpellbookGump.cs","ActiveSourceMissingInclude","P1","Magic:Elementalism","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Holy Man/Gumps/HolyManSpellBookGump.cs","ActiveSourceMissingInclude","P1","Magic:Holy Man","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Jedi/Gumps/JediSpellBookGump.cs","ActiveSourceMissingInclude","P1","Magic:Jedi","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Mystic/Gumps/MysticSpellBookGump.cs","ActiveSourceMissingInclude","P1","Magic:Mystic","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Research/Gumps/AncientSpellBookGump.cs","ActiveSourceMissingInclude","P1","Magic:Research","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Magic/Syth/Gumps/SythSpellBookGump.cs","ActiveSourceMissingInclude","P1","Magic:Syth","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Quests/Epic/Gumps/EpicGump.cs","ActiveSourceMissingInclude","P1","Quests:Epic","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Quests/Museum/Gumps/MuseumBookGump.cs","ActiveSourceMissingInclude","P1","Quests:Museum","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Commands/Gumps/Adddoorgump.cs","ActiveSourceMissingInclude","P1","System:Commands","CommandSystem.Register;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Commands/Gumps/AdminGump.cs","ActiveSourceMissingInclude","P1","System:Commands","CommandSystem.Register;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Commands/Gumps/ScanGump.cs","ActiveSourceMissingInclude","P1","System:Commands","CommandSystem.Register;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Commands/Player/Gumps/PartyGump.cs","ActiveSourceMissingInclude","P1","System:Commands","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Commands/Player/Gumps/SkillsGump.cs","ActiveSourceMissingInclude","P1","System:Commands","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Help/Gumps/HelpGump.cs","ActiveSourceMissingInclude","P1","System:Help","EventSink;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Help/Gumps/PagePromptGump.cs","ActiveSourceMissingInclude","P1","System:Help","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Help/Gumps/PageQueueGump.cs","ActiveSourceMissingInclude","P1","System:Help","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Help/Gumps/PageResponseGump.cs","ActiveSourceMissingInclude","P1","System:Help","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Help/Gumps/SpeechLogGump.cs","ActiveSourceMissingInclude","P1","System:Help","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/System/Skills/Weapon Abilities/Gumps/SpecialAttackGump.cs","ActiveSourceMissingInclude","P1","System:Skills","CommandSystem.Register;Initialize;OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Apiculture/Gumps/BeeHiveGumps.cs","ActiveSourceMissingInclude","P1","Trades:Apiculture","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Bulk Orders/Books/Gumps/BOBFilterGump.cs","ActiveSourceMissingInclude","P1","Trades:Bulk Orders","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Bulk Orders/Books/Gumps/BOBGump.cs","ActiveSourceMissingInclude","P1","Trades:Bulk Orders","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Bulk Orders/Books/Gumps/BODBuyGump.cs","ActiveSourceMissingInclude","P1","Trades:Bulk Orders","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Bulk Orders/Gumps/LargeBODAcceptGump.cs","ActiveSourceMissingInclude","P1","Trades:Bulk Orders","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Bulk Orders/Gumps/LargeBODGump.cs","ActiveSourceMissingInclude","P1","Trades:Bulk Orders","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Bulk Orders/Gumps/SmallBODAcceptGump.cs","ActiveSourceMissingInclude","P1","Trades:Bulk Orders","OnResponse","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
"Data/Scripts/Trades/Bulk Orders/Gumps/SmallBODGump.cs","ActiveSourceMissingInclude","P1","Trades:Bulk Orders","OnResponse;SendGump","Backlog: review as active source; add Compile Include or document intentional non-compiled status.","Re-run New-ProjectTruthRegister.ps1, then build Data/Scripts/Scripts.csproj Debug|AnyCPU if project includes change."
