"CandidateId","ProposedBatchId","RecommendationRank","Recommendation","BehaviorToChange","System","ExpectedSourceFiles","NonGatedRationale","PostBatchYGateHitCount","PostBatchYGateEvidence","ActiveOverlayRows","ActiveOverlayEvidence","Risks","VerificationRequired","WhatMustStayUnchanged","SourceEvidence","SuggestedGoalShape"
"SB119-CAND-011","SOURCE-BATCH-129","11","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGinseng.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGinseng","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinseng.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinseng.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinseng.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGinseng.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-129 DecoGinseng Guard Repair"
"SB119-CAND-012","SOURCE-BATCH-130","12","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGinseng2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGinseng2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinseng2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinseng2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinseng2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGinseng2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-130 DecoGinseng2 Guard Repair"
"SB119-CAND-013","SOURCE-BATCH-131","13","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGinsengRoot.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGinsengRoot","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinsengRoot.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinsengRoot.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinsengRoot.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGinsengRoot.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-131 DecoGinsengRoot Guard Repair"
"SB119-CAND-014","SOURCE-BATCH-132","14","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoGinsengRoot2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoGinsengRoot2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinsengRoot2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinsengRoot2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoGinsengRoot2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoGinsengRoot2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-132 DecoGinsengRoot2 Guard Repair"
"SB119-CAND-015","SOURCE-BATCH-133","15","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoMandrake.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoMandrake","Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoMandrake.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-133 DecoMandrake Guard Repair"
"SB119-CAND-016","SOURCE-BATCH-134","16","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoMandrake2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoMandrake2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoMandrake2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-134 DecoMandrake2 Guard Repair"
"SB119-CAND-017","SOURCE-BATCH-135","17","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoMandrake3.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoMandrake3","Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake3.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake3.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrake3.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoMandrake3.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-135 DecoMandrake3 Guard Repair"
"SB119-CAND-018","SOURCE-BATCH-136","18","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoMandrakeRoot.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoMandrakeRoot","Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrakeRoot.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrakeRoot.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrakeRoot.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoMandrakeRoot.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-136 DecoMandrakeRoot Guard Repair"
"SB119-CAND-019","SOURCE-BATCH-137","19","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoMandrakeRoot2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoMandrakeRoot2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrakeRoot2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrakeRoot2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoMandrakeRoot2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoMandrakeRoot2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-137 DecoMandrakeRoot2 Guard Repair"
"SB119-CAND-020","SOURCE-BATCH-138","20","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoNightshade.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoNightshade","Data/Scripts/Items/Special/Rares/PaganReagents/DecoNightshade.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoNightshade.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoNightshade.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoNightshade.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-138 DecoNightshade Guard Repair"
"SB119-CAND-021","SOURCE-BATCH-139","21","NextCleanCandidate","Add stale/null/mobile/source-item guards to DecoNightshade2.OnDragLift(Mobile from) before sending the existing collectible-message and delegating to base.OnDragLift.","Items:Special / Rares / PaganReagents / DecoNightshade2","Data/Scripts/Items/Special/Rares/PaganReagents/DecoNightshade2.cs","Single decorative rare item file; zero POST-BATCH-Y gate hits; zero active overlay rows; guard-only fix preserves collectible message and drag-lift delegation.","0","No gate register Files, SourceEvidence, or Notes match Data/Scripts/Items/Special/Rares/PaganReagents/DecoNightshade2.cs.","0","No active post-audit backlog rows match Data/Scripts/Items/Special/Rares/PaganReagents/DecoNightshade2.cs.","Implementation must not change item ID, Movable, Stackable, collectible message, base.OnDragLift return behavior, serialization, namespace/type/file layout, or project/config/data files.","POST-BATCH-Y gate scan; active overlay scan; targeted OnDragLift guard/message/base-call scan; serializer diff scan; forbidden-surface diff scan; Server.csproj Debug/x86 build; runtime compile verification; git diff --check; restore generated root build artifacts before staging.","Valid state still sends the collectible message and returns base.OnDragLift(from); constructor fields and serialization stay unchanged.","Discovery found DecoNightshade2.OnDragLift dereferencing from.SendMessage before stale/null guards.","SOURCE-BATCH-139 DecoNightshade2 Guard Repair"
