"Id","AuditId","Priority","Status","System","Capability","Decision","RecommendedSurface","Files","Evidence","Risk","ContentBrief","SpoilerBoundary","AcceptanceTest","RuntimeOwnerCheck","Notes"
"IGDB-0012","IGD-DOC-docs-wiki-book-publisher-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Book Publisher","Incorporate","LibraryReference","Data/Scripts/Custom/Book Publisher [2.0]/BookBuyInfo.cs;Data/Scripts/Custom/Book Publisher [2.0]/PublishedBook.cs;Data/Scripts/Custom/Book Publisher [2.0]/Publisher.cs;Data/Scripts/Custom/Book Publisher [2.0]/SBPublisher.cs;Data/Scripts/Custom/Book Publisher [2.0]/XmlBook.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0013","IGD-DOC-docs-wiki-bulk-order-system-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Bulk Order System","Incorporate","LibraryReference","","Canonical external topic retained as a candidate; no current source path is asserted.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0014","IGD-DOC-docs-wiki-farmable-crops-system-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Farmable Crops System","Incorporate","LibraryReference","Data/Scripts/Items/Farming/;Data/Scripts/Items/Farming/FarmableCabbage.cs;Data/Scripts/Items/Farming/FarmableCarrot.cs;Data/Scripts/Items/Farming/FarmableCorn.cs;Data/Scripts/Items/Farming/FarmableCotton.cs;Data/Scripts/Items/Farming/FarmableCrop.cs;Data/Scripts/Items/Farming/FarmableFlax.cs;Data/Scripts/Items/Farming/FarmableLettuce.cs;Data/Scripts/Items/Farming/FarmableOnion.cs;Data/Scripts/Items/Farming/FarmablePumpkin.cs;Data/Scripts/Items/Farming/FarmableTomato.cs;Data/Scripts/Items/Farming/FarmableTurnip.cs;Data/Scripts/Items/Farming/FarmableWatermelon.cs;Data/Scripts/Items/Farming/FarmableWheat.cs;Data/Scripts/Items/Trades/Resources/Reagents/Farm/FarmableGarlic.cs;Data/Scripts/Items/Trades/Resources/Reagents/Farm/FarmableGinseng.cs;Data/Scripts/Items/Trades/Resources/Reagents/Farm/FarmableMandrakeRoot.cs;Data/Scripts/Items/Trades/Resources/Reagents/Farm/FarmableNightshade.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0015","IGD-DOC-docs-wiki-flip-deed-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Flip Deed","Incorporate","LibraryReference","Data/Scripts/Items/Construction/Addons/BaseAddonDeed.cs;Data/Scripts/Items/Houses/InteriorDecorator.cs;Data/Scripts/Items/Houses/TentsEast.cs;Data/Scripts/Items/Misc/FlipableAttribute.cs;Data/Scripts/Items/Relics/DDRelicBearRugs.cs;Data/Scripts/System/Help/Gumps/HelpGump.cs;Data/Scripts/Trades/Stone/BaseStatueDeed.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0016","IGD-DOC-docs-wiki-grave-robbing-trade-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Grave Robbing Trade","Incorporate","LibraryReference","Data/Scripts/Items/Containers/GraveChest.cs;Data/Scripts/Items/Trades/Harvest Tools/BaseHarvestTool.cs;Data/Scripts/Trades/Crafting/DefTinkering.cs;Data/Scripts/Trades/Grave Robbing/Bones.cs;Data/Scripts/Trades/Grave Robbing/GraveRobbing.cs;Data/Scripts/Trades/Grave Robbing/GraveShovel.cs;Data/Scripts/Trades/Harvest/HarvestBank.cs;Data/Scripts/Trades/Harvest/HarvestDefinition.cs;Data/Scripts/Trades/Harvest/HarvestSystem.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0017","IGD-DOC-docs-wiki-harvest-resource-system-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Harvest Resource System","Incorporate","LibraryReference","Data/Scripts/Items/Trades/Harvest Tools/BaseHarvestTool.cs;Data/Scripts/Trades/Harvest/BonusHarvestResource.cs;Data/Scripts/Trades/Harvest/HarvestBank.cs;Data/Scripts/Trades/Harvest/HarvestDefinition.cs;Data/Scripts/Trades/Harvest/HarvestResource.cs;Data/Scripts/Trades/Harvest/HarvestSoundTimer.cs;Data/Scripts/Trades/Harvest/HarvestSystem.cs;Data/Scripts/Trades/Harvest/HarvestTarget.cs;Data/Scripts/Trades/Harvest/HarvestTimer.cs;Data/Scripts/Trades/Harvest/HarvestVein.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0018","IGD-DOC-docs-wiki-homestead-system-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Homestead System","Incorporate","LibraryReference","","Canonical external topic retained as a candidate; no current source path is asserted.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0019","IGD-DOC-docs-wiki-librarian-trade-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Librarian Trade","Incorporate","LibraryReference","Data/Scripts/Items/Unknown/UnknownScroll.cs;Data/Scripts/Trades/Harvest/HarvestBank.cs;Data/Scripts/Trades/Harvest/HarvestDefinition.cs;Data/Scripts/Trades/Harvest/HarvestSystem.cs;Data/Scripts/Trades/Librarian/Librarian.cs;Data/Scripts/Trades/Librarian/LibraryScrolls.cs;Data/Scripts/Trades/Librarian/Monocle.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0020","IGD-DOC-docs-wiki-relic-items-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Relic Items","Incorporate","LibraryReference","Data/Scripts/Items/Relics/;Data/Scripts/Items/Relics/DDIdItems.cs;Data/Scripts/Items/Relics/DDRelicAlchemy.cs;Data/Scripts/Items/Relics/DDRelicArmor.cs;Data/Scripts/Items/Relics/DDRelicArts.cs;Data/Scripts/Items/Relics/DDRelicBanner.cs;Data/Scripts/Items/Relics/DDRelicBearRugs.cs;Data/Scripts/Items/Relics/DDRelicBook.cs;Data/Scripts/Items/Relics/DDRelicCloth.cs;Data/Scripts/Items/Relics/DDRelicCoins.cs;Data/Scripts/Items/Relics/DDRelicDrink.cs;Data/Scripts/Items/Relics/DDRelicFur.cs;Data/Scripts/Items/Relics/DDRelicGem.cs;Data/Scripts/Items/Relics/DDRelicGrave.cs;Data/Scripts/Items/Relics/DDRelicInstrument.cs;Data/Scripts/Items/Relics/DDRelicJewels.cs;Data/Scripts/Items/Relics/DDRelicLeather.cs;Data/Scripts/Items/Relics/DDRelicLight.cs;Data/Scripts/Items/Relics/DDRelicMoney.cs;Data/Scripts/Items/Relics/DDRelicOrbs.cs;Data/Scripts/Items/Relics/DDRelicPainting.cs;Data/Scripts/Items/Relics/DDRelicReagent.cs;Data/Scripts/Items/Relics/DDRelicRug.cs;Data/Scripts/Items/Relics/DDRelicScrolls.cs;Data/Scripts/Items/Relics/DDRelicStatue.cs;Data/Scripts/Items/Relics/DDRelicTablet.cs;Data/Scripts/Items/Relics/DDRelicVase.cs;Data/Scripts/Items/Relics/DDRelicWeapon.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0021","IGD-DOC-docs-wiki-runic-tools-crafting-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Runic Tools Crafting","Incorporate","LibraryReference","Data/Scripts/Items/Armor/BaseArmor.cs;Data/Scripts/Items/Trades/Tools/BaseRunicTool.cs;Data/Scripts/Items/Trades/Tools/BaseTool.cs;Data/Scripts/Items/Trades/Tools/RunicDovetailSaw.cs;Data/Scripts/Items/Trades/Tools/RunicHammer.cs;Data/Scripts/Items/Trades/Tools/RunicSewingKit.cs;Data/Scripts/Items/Weapons/BaseWeapon.cs;Data/Scripts/System/Misc/ResourceInfo.cs;Data/Scripts/Trades/Bulk Orders/Rewards.cs;Data/Scripts/Trades/Runics/BaseRunicFletcherTools.cs;Data/Scripts/Trades/Runics/BaseRunicHammer.cs;Data/Scripts/Trades/Runics/BaseRunicSaw.cs;Data/Scripts/Trades/Runics/BaseRunicSewingKit.cs;Data/Scripts/Trades/Runics/BaseRunicTinkerTools.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0022","IGD-DOC-docs-wiki-shoppes-vendors-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Shoppes Vendors","Incorporate","LibraryReference","Data/Scripts/Mobiles/Base/BaseVendor.cs;Data/Scripts/Mobiles/Base/StoreSalesList.cs;Data/Scripts/Scripts.csproj;Data/Scripts/Trades/Shoppes/AlchemistShoppe.cs;Data/Scripts/Trades/Shoppes/BakerShoppe.cs;Data/Scripts/Trades/Shoppes/BaseShoppe.cs;Data/Scripts/Trades/Shoppes/BlacksmithShoppe.cs;Data/Scripts/Trades/Shoppes/BowyerShoppe.cs;Data/Scripts/Trades/Shoppes/CarpentryShoppe.cs;Data/Scripts/Trades/Shoppes/CartographyShoppe.cs;Data/Scripts/Trades/Shoppes/Customers.cs;Data/Scripts/Trades/Shoppes/HerbalistShoppe.cs;Data/Scripts/Trades/Shoppes/LibrarianShoppe.cs;Data/Scripts/Trades/Shoppes/MerchantCrate.cs;Data/Scripts/Trades/Shoppes/MorticianShoppe.cs;Data/Scripts/Trades/Shoppes/TailorShoppe.cs;Data/Scripts/Trades/Shoppes/TinkerShoppe.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0023","IGD-DOC-docs-wiki-stonecrafting-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Stonecrafting","Incorporate","LibraryReference","Data/Scripts/Items/Trades/Resources/Masonry/Granite.cs;Data/Scripts/Items/Trades/Specialized/MasonryBook.cs;Data/Scripts/Items/Trades/Specialized/StoneMiningBook.cs;Data/Scripts/Items/Trades/Tools/MalletAndChisel.cs;Data/Scripts/Mobiles/Civilized/Vendors/StoneCrafter.cs;Data/Scripts/Scripts.csproj;Data/Scripts/Trades/Crafting/DefMasonry.cs;Data/Scripts/Trades/Stone/Assemblies.cs;Data/Scripts/Trades/Stone/BaseStatue.cs;Data/Scripts/Trades/Stone/BaseStatueDeed.cs;Data/Scripts/Trades/Stone/Furniture.cs;Data/Scripts/Trades/Stone/Gravestones.cs;Data/Scripts/Trades/Stone/Statues.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
"IGDB-0024","IGD-DOC-docs-wiki-taxidermy-md","P2","Ready","CanonicalWiki:Crafting, Harvesting, Trades, And Economy","Taxidermy","Incorporate","LibraryReference","Data/Scripts/Items/Misc/Bodies/Corpses/Corpse.cs;Data/Scripts/Items/Trades/Carpenter Items/TaxidermyKit.cs;Data/Scripts/Mobiles/Base/DropRelic.cs;Data/Scripts/Trades/Taxidermy/MagicSkulls.cs;Data/Scripts/Trades/Taxidermy/MountedTrophyHead.cs;Data/Scripts/Trades/Taxidermy/MountingBase.cs;Data/Scripts/Trades/Taxidermy/StuffedBear.cs;Data/Scripts/Trades/Taxidermy/StuffingBasket.cs;Data/Scripts/Trades/Taxidermy/TrophyBase.cs","Current source paths from the canonical documentation truth table were revalidated against the filesystem.","Medium to high: materials, property, batch actions, and vendor transactions can cause meaningful loss.","Teach entry tools, material consumption, batch or queue controls, persistent selections, stop paths, and irreversible or costly actions.","Explain entry, controls, rules, risks, and clue paths; omit locations, solutions, passwords, and surprises.","An ordinary player can reach the recommended surface and perform the documented capability without using the external wiki.","Required: ordinary-player staging placement/accessibility evidence; no world save is present in this checkout.","The wiki is research evidence only and does not count as in-game coverage."
